timestamp,session_id,model,transcribed_text,reference_text,loading_model_time,startup_latency_ms,inference_latency_ms,rtf,avg_confidence,wer,cer,wer_normalized,wer_substitutions,wer_deletions,wer_insertions,bleu_score,user_success,cold_start,peak_memory_mb,is_benchmark
2026-07-02T21:28:00.215234+00:00,755b0451-945f-4226-a58a-421ec96c16a2,faster-whisper:medium,Abra o Google.,Abra o Google,5.16,,1886.6,0.6687,0.7561,0.0,0.0909,0.0,0.0,0.0,0.0,0.5623,True,False,,True
2026-07-02T21:28:09.849978+00:00,755b0451-945f-4226-a58a-421ec96c16a2,faster-whisper:medium,Abra o Discord!,Abra o Discord,5.16,,1738.01,0.5957,0.7561,0.0,0.0833,0.0,0.0,0.0,0.0,0.5623,True,False,,True
2026-07-02T21:28:49.098045+00:00,755b0451-945f-4226-a58a-421ec96c16a2,faster-whisper:medium,FireShoot ou Firefox?,Feche o Fire Fox,5.16,,1796.68,0.3917,0.8001,1.0,0.6154,1.0,0.75,0.25,0.0,0,False,False,,True
2026-07-02T21:29:02.388713+00:00,755b0451-945f-4226-a58a-421ec96c16a2,faster-whisper:medium,e executa o onidesc.,Execute o Any Desk,5.16,,6856.27,2.5811,0.386,1.0,0.4,1.0,1.0,0.0,0.0,0.0803,False,False,,True
2026-07-02T21:29:06.798880+00:00,755b0451-945f-4226-a58a-421ec96c16a2,faster-whisper:medium,Inicie o System Manager.,Inicia o System Manager,5.16,,1856.75,0.4278,0.8009,0.25,0.1,0.25,0.25,0.0,0.0,0.3976,True,False,,True
2026-07-02T21:29:13.937912+00:00,755b0451-945f-4226-a58a-421ec96c16a2,faster-whisper:medium,"Abra, o débil, mei cry",Abra Devil may Cry,5.16,,2103.39,0.551,0.6714,0.75,0.4667,0.75,0.5,0.0,0.25,0.0639,False,False,,True
2026-07-02T21:29:18.032133+00:00,755b0451-945f-4226-a58a-421ec96c16a2,faster-whisper:medium,Abre o Instagram.,Abre o Intagram,5.16,,1684.51,0.6556,0.7239,0.3333,0.1538,0.3333,0.3333,0.0,0.0,0.2403,True,False,,True
2026-07-02T21:29:28.135518+00:00,755b0451-945f-4226-a58a-421ec96c16a2,faster-whisper:medium,Abrir obsidios.,Abrir Obsidian,5.16,,1729.06,0.5986,0.6364,0.5,0.2308,0.5,0.5,0.0,0.0,0.1495,False,False,,True
2026-07-02T21:29:37.086783+00:00,755b0451-945f-4226-a58a-421ec96c16a2,faster-whisper:medium,Pode abrir o FILE EXPLODER,Pode abrir o File Explorer,5.16,,2071.93,0.468,0.6913,0.2,0.0455,0.2,0.2,0.0,0.0,0.6687,True,False,,True
2026-07-02T21:29:41.488552+00:00,755b0451-945f-4226-a58a-421ec96c16a2,faster-whisper:medium,e para o Blender,Pare o Blender,5.16,,1688.05,0.7551,0.397,0.6667,0.1667,0.6667,0.3333,0.0,0.3333,0.1699,True,False,,True
2026-07-02T21:31:18.940401+00:00,52c65fd5-1bad-4606-8dc4-82d1e398d681,faster-whisper:tiny,abroco,Abra o Google,3.68,,1736.17,0.6154,0.2409,1.0,0.5455,1.0,0.3333,0.6667,0.0,0,False,False,,True
2026-07-02T21:31:22.746602+00:00,52c65fd5-1bad-4606-8dc4-82d1e398d681,faster-whisper:tiny,Abra o Discord.,Abra o Discord,3.68,,625.58,0.2144,0.4715,0.0,0.0833,0.0,0.0,0.0,0.0,0.5623,True,False,,True
2026-07-02T21:31:29.436609+00:00,52c65fd5-1bad-4606-8dc4-82d1e398d681,faster-whisper:tiny,Feixe-me o Firefox.,Feche o Fire Fox,3.68,,2038.51,0.4445,0.3586,0.75,0.4615,0.75,0.5,0.25,0.0,0.0814,True,False,,True
2026-07-02T21:31:34.588064+00:00,52c65fd5-1bad-4606-8dc4-82d1e398d681,faster-whisper:tiny,e secute no ano e desque.,Execute o Any Desk,3.68,,2281.66,0.8589,0.4223,1.5,0.5333,1.5,1.0,0.0,0.5,0,False,False,,True
2026-07-02T21:31:40.865556+00:00,52c65fd5-1bad-4606-8dc4-82d1e398d681,faster-whisper:tiny,e você é o System Manager.,Inicia o System Manager,3.68,,2305.79,0.5313,0.2625,0.75,0.3,0.75,0.25,0.0,0.5,0.2021,False,False,,True
2026-07-02T21:31:48.629844+00:00,52c65fd5-1bad-4606-8dc4-82d1e398d681,faster-whisper:tiny,Abra o devio Make Cry.,Abra Devil may Cry,3.68,,3432.05,0.8991,0.4195,0.75,0.3333,0.75,0.5,0.0,0.25,0.0639,True,False,,True
2026-07-02T21:31:51.641101+00:00,52c65fd5-1bad-4606-8dc4-82d1e398d681,faster-whisper:tiny,Abre o Instagram.,Abre o Intagram,3.68,,883.76,0.344,0.4344,0.3333,0.1538,0.3333,0.3333,0.0,0.0,0.2403,True,False,,True
2026-07-02T21:31:54.441074+00:00,52c65fd5-1bad-4606-8dc4-82d1e398d681,faster-whisper:tiny,abriir opisitos.,Abrir Obsidian,3.68,,814.97,0.2821,0.4759,1.0,0.5385,1.0,1.0,0.0,0.0,0,False,False,,True
2026-07-02T21:31:59.831393+00:00,52c65fd5-1bad-4606-8dc4-82d1e398d681,faster-whisper:tiny,"Bom dia, a video do Fire Fire Exploder.",Pode abrir o File Explorer,3.68,,2485.37,0.5614,0.2879,1.6,0.7727,1.6,1.0,0.0,0.6,0,False,False,,True
2026-07-02T21:32:06.490194+00:00,52c65fd5-1bad-4606-8dc4-82d1e398d681,faster-whisper:tiny,a padeu Blender.,Pare o Blender,3.68,,1619.63,0.7245,0.3232,0.6667,0.3333,0.6667,0.6667,0.0,0.0,0.1136,False,False,,True
2026-07-02T21:32:44.438273+00:00,c1bfbca7-c3bf-49f0-b8ab-64aa9d099c96,faster-whisper:base,abro o cubo,Abra o Google,4.07,,948.17,0.3361,0.6279,0.6667,0.5455,0.6667,0.6667,0.0,0.0,0.1136,False,False,,True
2026-07-02T21:32:47.154679+00:00,c1bfbca7-c3bf-49f0-b8ab-64aa9d099c96,faster-whisper:base,Abre-o-de-scorche.,Abra o Discord,4.07,,795.52,0.2727,0.3934,1.0,0.75,1.0,0.3333,0.6667,0.0,0,False,False,,True
2026-07-02T21:32:51.901553+00:00,c1bfbca7-c3bf-49f0-b8ab-64aa9d099c96,faster-whisper:base,Fecho o farofox.,Feche o Fire Fox,4.07,,2258.54,0.4924,0.5236,0.75,0.3077,0.75,0.5,0.25,0.0,0.0814,False,False,,True
2026-07-02T21:32:58.546106+00:00,c1bfbca7-c3bf-49f0-b8ab-64aa9d099c96,faster-whisper:base,Execute o unidesque.,Execute o Any Desk,4.07,,889.12,0.3347,0.6032,0.5,0.4,0.5,0.25,0.25,0.0,0.1722,False,False,,True
2026-07-02T21:33:01.639179+00:00,c1bfbca7-c3bf-49f0-b8ab-64aa9d099c96,faster-whisper:base,Inici o sistema mendedor.,Inicia o System Manager,4.07,,809.67,0.1866,0.5486,0.75,0.45,0.75,0.75,0.0,0.0,0.0803,False,False,,True
2026-07-02T21:33:05.790235+00:00,c1bfbca7-c3bf-49f0-b8ab-64aa9d099c96,faster-whisper:base,Abre o devio make cry.,Abra Devil may Cry,4.07,,841.91,0.2205,0.5347,1.0,0.4,1.0,0.75,0.0,0.25,0.0537,True,False,,True
