timestamp,session_id,model,transcribed_text,reference_text,loading_model_time,startup_latency_ms,inference_latency_ms,rtf,avg_confidence,wer,cer,wer_normalized,wer_substitutions,wer_deletions,wer_insertions,bleu_score,user_success,cold_start,peak_memory_mb,is_benchmark
2026-07-02T20:54:24.566273+00:00,e0ee2e3f-e696-4611-b328-59fbd8f6e374,faster-whisper:small,"API e Arquitetura REST. Resumo sobre API e Arquitetura REST para a prova de back-end. Uma API ou interfaz de programação de aplicações atua como uma ponte de comunicação padronizada entre diferentes sistemas de software. No padrão REST, utilizamos os métodos nativos do protocolo HTTP, como os verbos GET, POST, PUT e DELETE, para consultar e manipular recursos no servidor. É importante notar que, na arquitetura moderna, as respostas do servidor quase sempre retornam no formato JSON. Isto substitui antigo padrão xml, porque o JSON é mais leve e facilita imensamente o parsing dos dados no lado do front-end na aplicação.","APIs e Arquitetura REST Resumo sobre APIs e arquitetura REST para a prova de back-end. Uma API, ou Interface de Programação de Aplicações, atua como uma ponte de comunicação padronizada entre diferentes sistemas de software. No padrão REST, utilizamos os métodos nativos do protocolo HTTP, como os verbos GET, POST, PUT e DELETE, para consultar e manipular recursos no servidor.É importante notar que, na arquitetura moderna, as respostas do servidor quase sempre retornam no formato JSON. Isso substituiu o antigo padrão XML porque o JSON é mais leve e facilita imensamente o parsing dos dados no lado do front-end da aplicação.",5.67,,9149.78,0.1785,0.8568,0.0891,0.0227,0.0891,0.0693,0.0099,0.0099,0.8497,False,False,,True
2026-07-02T20:54:34.877312+00:00,e0ee2e3f-e696-4611-b328-59fbd8f6e374,faster-whisper:small,"Modelos de computação em nuvem. Anotações da aula de hoje sobre computação em nuvem. Basicamente precisamos memorizar as diferenças entre os três modelos principais de serviço I, AS, P, A, A, S e S, A, S. Quando fazemos o deploy de uma aplicação usando P, A, A, S ou plataforma como serviço, a nuvem extrai toda a infraestrutura suja acente, o que permite que a equipe de desenvolvimento foque exclusivamente na escrita de código. Um ponto crucial para sistemas corporativos é o contrato de nível de serviço conhecido como SLA. Os grandes proveedores garantem uma disponibilidade de 29,9% todo dia para o manual. Isso reduz drasticamente o tempo de inatividade quando comparamos com a manutenção nos antigos serviços on-premise locais.","Modelos de Computação em Nuvem Anotações da aula de hoje sobre computação em nuvem. Basicamente, precisamos memorizar as diferenças entre os três modelos principais de serviço: IaaS, PaaS e SaaS. Quando fazemos o deploy de uma aplicação usando PaaS, ou Plataforma como Serviço, a nuvem abstrai toda a infraestrutura subjacente, o que permite que a equipe de desenvolvimento foque exclusivamente na escrita do código. Um ponto crucial para sistemas corporativos é o contrato de nível de serviço, conhecido como SLA. Os grandes provedores garantem uma disponibilidade de 99,9% de uptime anual. Isso reduz drasticamente o tempo de inatividade quando comparamos com a manutenção dos antigos servidores on-premise locais.",5.67,,9455.25,0.1783,0.8526,0.2407,0.0608,0.2407,0.1296,0.0,0.1111,0.6648,False,False,,True
2026-07-02T20:54:44.143591+00:00,e0ee2e3f-e696-4611-b328-59fbd8f6e374,faster-whisper:small,"A evolução do armazenamento de a HDD para SSD. Comparativo rápido de hardware de armazenamento para o guia de montagem, a principal diferença estrutural entre um HDD e um SSD é a total ausência de partes mecânicas imóveis no disco de estado sólido. Quanto o disco rígido magnético tradicional opera a 7200 RPM atingir taxas de transferência de 150 MB por segundo, a tecnologia flash mudou. Isso porque hoje um SSD com protocolo NVMe moderno conectado diretamente ao barramento PC e da placa mãe ultrapassa com facilidade a marca de 3.500 MB por segundo. Essa transição que ganhou muita força a partir de 2012 revolucionou o tempo de boot dos sistemas operacionais de desktop.","Evolução do Armazenamento: HDD vs SSD Comparativo rápido de hardware de armazenamento para o guia de montagem. A principal diferença estrutural entre um HDD e um SSD é a total ausência de partes mecânicas móveis no disco de estado sólido. Enquanto um disco rígido magnético tradicional opera girando a 7200 RPM e atinge taxas de transferência na faixa de 150 megabytes por segundo, a tecnologia flash mudou tudo. Hoje, um SSD com protocolo NVMe moderno, conectado diretamente no barramento PCIe da placa-mãe, ultrapassa com extrema facilidade a marca de 3500 megabytes por segundo. Essa transição, que ganhou muita força a partir de 2012, revolucionou o tempo de boot dos sistemas operacionais de desktop.Feche o Fire Fox",5.67,,8767.19,0.1582,0.8374,0.2241,0.1403,0.2241,0.1034,0.069,0.0517,0.6586,False,False,,True
2026-07-02T20:54:56.981449+00:00,e0ee2e3f-e696-4611-b328-59fbd8f6e374,faster-whisper:small,"Segurança da Informação e LGPD, revisão para o Exame de Segurança Cibernética, foco do capítulo 4, foi entender os vetores de ataques modernos, principalmente os ataques de negação de serviço distribuído, a sigla DDE OS e as tádicas de engenharia social focadas em peixim, para tentar mitigar o risco de invasão de contas corporativas sem implementação do 2FA, FIA, autenticação de dois fatores, deixou de ser um diferencial e tornou-se uma exigência básica. Além da parte técnica, existe a questão legal, as empresas do Brasil precisam ser adequadas rigorosamente às diretírizes da LGPD, a Lei Geral de Proteção dos Dados, que foi sancionada em agosto de 2018. O não cumprimento dessas regras de piracidade pode resultar em multas que chegam a 2% do faturamento da empresa.","Segurança da Informação e LGPD Revisão para o exame de segurança cibernética. O foco do capítulo 4 foi entender os vetores de ataque modernos, principalmente os ataques de negação de serviço distribuída, a sigla DDoS, e as táticas de engenharia social focadas em phishing. Para tentar mitigar o risco de invasão de contas corporativas, a implementação do 2FA, a autenticação de dois fatores, deixou de ser um diferencial e se tornou uma exigência básica. Além da parte técnica, existe a questão legal. As empresas no Brasil precisam se adequar rigorosamente às diretrizes da LGPD, a Lei Geral de Proteção de Dados, que foi sancionada em agosto de 2018. O não cumprimento dessas regras de privacidade pode resultar em multas que chegam a 2% do faturamento da empresa.",5.67,,11943.68,0.2178,0.8649,0.1339,0.0578,0.1339,0.1102,0.0157,0.0079,0.7026,False,False,,True
2026-07-02T20:55:07.811570+00:00,e0ee2e3f-e696-4611-b328-59fbd8f6e374,faster-whisper:small,"Fundamentos da Inteligência Artificial, conceitos iniciais do Módulo de Inteligência Artificial. O primeiro passo é saber os diferentes diferenciais de deep learning e machine learning. Deep learning é uma subcategoria que utiliza redes neurais complexas estruturadas com múltiplas camadas ocultas para conseguir estreir padrões gigantescos de data sets com milhões de imagens ou horas de álbum. Ontem à noite, durante o treinamento prático do nosso modelo de visão computacional, encontrei o problema clássico de overfitting. A precisão do modelo no conjunto de dados de treino chegou a um pressionante de 98%, mas quando foi rodar a referência nos dados de validação, a taxa de acerto despencou para 65%. Preciso ajustar os hyperparâmetros amanhã.","Fundamentos de Inteligência Artificial Conceitos iniciais do módulo de inteligência artificial. O primeiro passo é saber diferenciar os termos Machine Learning e Deep Learning. O Deep Learning é uma subcategoria que utiliza redes neurais artificiais complexas, estruturadas com múltiplas camadas ocultas, para conseguir extrair padrões de datasets gigantescos, como milhões de imagens ou horas de áudio. Ontem à noite, durante o treinamento prático do nosso modelo de visão computacional, enfrentei um clássico problema de overfitting. A precisão do modelo no conjunto de dados de treino chegou a impressionantes 98%, mas, quando fui rodar a inferência nos dados de validação, a taxa de acerto despencou para apenas 65%. Preciso ajustar os hiperparâmetros amanhã.",5.67,,10157.29,0.2027,0.8923,0.2321,0.1518,0.2321,0.1696,0.0268,0.0357,0.638,False,False,,True
2026-07-02T21:00:30.533563+00:00,6db12e5c-4732-4bd9-9dd2-50b6bf80036e,faster-whisper:tiny,"A peiz e arquitetura arreste, resumo sobre a peiz e arquitetura arreste para a prova de Beckind, uma peiz, ou em ter faja de programação de aplicações, atocam uma ponte e comunicação, padrões a a dentro de diferentes estemas de software. No padrão arreste, ele utilizamos os métodos nativos do protocólogo ATP, como os verbos Gets, pouche, pute e delite, para consultar manipular recursos no servidor. É importante no tarque, na arquitetura moderna, as respostas do servidor, quase sempre retorne o no formato JSON, e isso substitui antigo padrão xml, porque o JSON é mais leve e fácil facilite mensalmente o par sin dos dados no lado do fronciente na clicação.","APIs e Arquitetura REST Resumo sobre APIs e arquitetura REST para a prova de back-end. Uma API, ou Interface de Programação de Aplicações, atua como uma ponte de comunicação padronizada entre diferentes sistemas de software. No padrão REST, utilizamos os métodos nativos do protocolo HTTP, como os verbos GET, POST, PUT e DELETE, para consultar e manipular recursos no servidor.É importante notar que, na arquitetura moderna, as respostas do servidor quase sempre retornam no formato JSON. Isso substituiu o antigo padrão XML porque o JSON é mais leve e facilita imensamente o parsing dos dados no lado do front-end da aplicação.",3.49,,4437.19,0.0866,0.7073,0.4554,0.1474,0.4554,0.3168,0.0198,0.1188,0.3398,False,False,,True
2026-07-02T21:00:35.755742+00:00,6db12e5c-4732-4bd9-9dd2-50b6bf80036e,faster-whisper:tiny,"modelos de computação e novinha. A notação é da aula de hoje sobre computação e novinha. Mas, finalmente, precisamos memorizar as diferenças entre os três modelos principais serviços. E a S-P-A-S-S-S-A-S. Quando fazemos o deploy de uma aplicação usando P-A-S, ou plataforma como serviço, a novinha extraitou de infraestrutura e sugestura de acente. O que permite que equipes em louco muito foco exclusivamente, escrita de código. Um ponto crucial para esses temas que eu for ativos é o contrato de nível de serviço conhecido como S-L-A. Esfiquirante for vetores, carantos e quantos fundibilidades de 29.9% de dia pra menual. Isso reduz drasticamente o tempo de natividade com quando comparamos como na tensão nos antigos serviços com prêmas locais.","Modelos de Computação em Nuvem Anotações da aula de hoje sobre computação em nuvem. Basicamente, precisamos memorizar as diferenças entre os três modelos principais de serviço: IaaS, PaaS e SaaS. Quando fazemos o deploy de uma aplicação usando PaaS, ou Plataforma como Serviço, a nuvem abstrai toda a infraestrutura subjacente, o que permite que a equipe de desenvolvimento foque exclusivamente na escrita do código. Um ponto crucial para sistemas corporativos é o contrato de nível de serviço, conhecido como SLA. Os grandes provedores garantem uma disponibilidade de 99,9% de uptime anual. Isso reduz drasticamente o tempo de inatividade quando comparamos com a manutenção dos antigos servidores on-premise locais.",3.49,,4747.7,0.0895,0.6861,0.5278,0.225,0.5278,0.3796,0.0278,0.1204,0.3805,False,False,,True
2026-07-02T21:00:40.949974+00:00,6db12e5c-4732-4bd9-9dd2-50b6bf80036e,faster-whisper:tiny,"evolução do armazenamento de HDD para SSD. O operativo rápido de hardware de armazenamento para o Guia de Molta, a gente é principal diferença estrutural entre um HDD em um SSD e a total ausência de partes mecânicas móveis no estado do disco de estado soitro. Quanto discurre de um magnético tradicional pera a sete-mindos entre RPM e a tinte de taxa de transferência de 150 megabytes por segundo, a tecnologia flecha e mudou. Isso, porque hoje um SSD com protocolo em VMA moderno conectado diretamente o barraamento PC e da placa mãe o trapaça com facilidade a marca de 3500 megabytes por segundo. Essa transcriça a transição, o que eu movo muita força parte de 2012, evolução não, o tempo de bute dos sistemas operacionais de desktop.","Evolução do Armazenamento: HDD vs SSD Comparativo rápido de hardware de armazenamento para o guia de montagem. A principal diferença estrutural entre um HDD e um SSD é a total ausência de partes mecânicas móveis no disco de estado sólido. Enquanto um disco rígido magnético tradicional opera girando a 7200 RPM e atinge taxas de transferência na faixa de 150 megabytes por segundo, a tecnologia flash mudou tudo. Hoje, um SSD com protocolo NVMe moderno, conectado diretamente no barramento PCIe da placa-mãe, ultrapassa com extrema facilidade a marca de 3500 megabytes por segundo. Essa transição, que ganhou muita força a partir de 2012, revolucionou o tempo de boot dos sistemas operacionais de desktop.Feche o Fire Fox",3.49,,4289.37,0.0774,0.6665,0.4655,0.2393,0.4655,0.2931,0.0345,0.1379,0.371,False,False,,True
2026-07-02T21:00:46.840747+00:00,6db12e5c-4732-4bd9-9dd2-50b6bf80036e,faster-whisper:tiny,"Segurança na informação ele repede revisão para o exame de segurança cybernética, foco do capital 4, foi entender os retores de ataques modernos, principalmente os ataques de negação de serviço distribuída, a sigla ddOS e a estatquia de engenharia social focadas em piscin, para tentar mitigar o risco de invasão de contas corporativos, sempre limentação do 2FIA, autênticação de dois fatores, deixou de ser o diferencial, e tornou o seu mention em exigência básica, além da parte técnica, existe questão legal, as empresas do Brasil precisam ser adequar rigorosamente as diretores da LGPT, a lei geral de proteção dos dados, que foi sancanada em agosto de 2018, o não comprimento dessas regras de feracidade pode resultar em mudas que chegam a 2% do fatoramento","Segurança da Informação e LGPD Revisão para o exame de segurança cibernética. O foco do capítulo 4 foi entender os vetores de ataque modernos, principalmente os ataques de negação de serviço distribuída, a sigla DDoS, e as táticas de engenharia social focadas em phishing. Para tentar mitigar o risco de invasão de contas corporativas, a implementação do 2FA, a autenticação de dois fatores, deixou de ser um diferencial e se tornou uma exigência básica. Além da parte técnica, existe a questão legal. As empresas no Brasil precisam se adequar rigorosamente às diretrizes da LGPD, a Lei Geral de Proteção de Dados, que foi sancionada em agosto de 2018. O não cumprimento dessas regras de privacidade pode resultar em multas que chegam a 2% do faturamento da empresa.",3.49,,4986.77,0.091,0.6886,0.2913,0.1297,0.2913,0.2362,0.0394,0.0157,0.4738,False,False,,True
2026-07-02T21:00:51.519905+00:00,6db12e5c-4732-4bd9-9dd2-50b6bf80036e,faster-whisper:tiny,"Fundamentos da inteligência artificial, conceitos iniciais no modelo de inteligência artificial. O primeiro passo é saber os diferentes diferenciados de Pilarning e Machine Learning. Diplarne é uma sobre categoria que utiliza redes neurais complexas estruturadas para com múltiplas camadas ou cultas. Para conseguir estreir padroes gigantescos de data setes, com milhões de imagens ou horas de áudio. O ontem a noite durante o treinamento prática do nosso modelo de visão computacional, encontrei o problema clássico de overfit, a precisar um do modelo no conjunto de dados de treino chegou ao pressionante e esnovente oito por cento. Mas, quando foi rodar referência nos dados de validação a taxa de acerto despenco para sessenta e cinco. Preciso ajustar os hyperparângulos a manhã.","Fundamentos de Inteligência Artificial Conceitos iniciais do módulo de inteligência artificial. O primeiro passo é saber diferenciar os termos Machine Learning e Deep Learning. O Deep Learning é uma subcategoria que utiliza redes neurais artificiais complexas, estruturadas com múltiplas camadas ocultas, para conseguir extrair padrões de datasets gigantescos, como milhões de imagens ou horas de áudio. Ontem à noite, durante o treinamento prático do nosso modelo de visão computacional, enfrentei um clássico problema de overfitting. A precisão do modelo no conjunto de dados de treino chegou a impressionantes 98%, mas, quando fui rodar a inferência nos dados de validação, a taxa de acerto despencou para apenas 65%. Preciso ajustar os hiperparâmetros amanhã.",3.49,,4191.57,0.0837,0.7367,0.4554,0.2423,0.4554,0.3125,0.0357,0.1071,0.3765,False,False,,True
